Key;Name;VM_ID;Request number;Description;OS;DNS Name;Server Type;VLANs;IP address;DNS;Gateway;Subnet;vHDD;vCPU;vRAM;Location VM;Lifetime;Services;Cluster;First Administrator;Other Administrators;Owner;AD Admin Group;Diagnostics;Last OS Update Time;Security scan;Status;Created;Updated;Deleted;Deletion date
CMDB-305950;MMZ-PCV-9972;VirtualMachine-vm-54375;;;Microsoft Windows 10 (64-bit);MMZ-PCV-9972.npo.izhmash;;;10.24.126.54;10.25.0.13,10.25.0.14;10.24.126.1;10.24.126.0/24;104;2;4;;;;;Грибков Алексей Константинович;Грибков Алексей Константинович;;;;;;Running;25.01.21;13.07.21;false;
CMDB-305971;MMZ-PCV-9973;VirtualMachine-vm-54376;;;Microsoft Windows 10 (64-bit);MMZ-PCV-9973.npo.izhmash;;;10.24.126.48;10.25.0.13,10.25.0.14;10.24.126.1;10.24.126.0/24;104;2;4;;;;;Грибков Алексей Константинович;Грибков Алексей Константинович;;;;;;Running;25.01.21;13.07.21;false;
CMDB-305874;MMZ-PCV-9974;VirtualMachine-vm-54377;;;Microsoft Windows 10 (64-bit);MMZ-PCV-9974.npo.izhmash;;;10.24.126.136;10.25.0.13,10.25.0.14;10.24.126.1;10.24.126.0/24;104;2;4;;;Удалённый доступ (RDS & VPN);;Грибков Алексей Константинович;Слуднева Екатерина Николаевна;;;;;;Running;25.01.21;17.07.21;false;
CMDB-305947;MMZ-PCV-9975;VirtualMachine-vm-63401;;;Microsoft Windows 10 (64-bit);MMZ-PCV-9975.npo.izhmash;;;10.24.126.143;10.25.0.13,10.25.0.14;10.24.126.1;10.24.126.0/24;104;2;4;;;;;Грибков Алексей Константинович;Слуднева Екатерина Николаевна;;;;;;Running;25.01.21;13.07.21;false;
CMDB-313383;MMZ-PCV-9994;;;;Microsoft Windows 10 (64-bit);MMZ-PCV-9994.npo.izhmash;;;10.24.76.18;10.25.0.13,10.25.0.14;10.24.76.1;10.24.76.0/24;104;2;4;;;;;;;;;;;;Stopped;25.02.21;2.03.21;true;
CMDB-313382;MMZ-PCV-9995;VirtualMachine-vm-97923;;Clone WSAD02 for Citrix;;MMZ-WSAD02.mmzavod.local;;;169.254.232.161,169.254.17.11,169.254.174.135;10.25.0.13,10.25.0.14;10.24.77.1;172.16.4.0/28;120;4;4;;;;;Слуднева Екатерина Николаевна;Слуднева Екатерина Николаевна;;;;;;Stopped;25.02.21;7.10.21;false;
CMDB-313188;MMZ-PCV-9996;VirtualMachine-vm-97110;RFC-9679;;Microsoft Windows 10 (64-bit);MMZ-PCV-9996.npo.izhmash;;;10.24.76.108;10.25.0.13,10.25.0.14;10.24.76.1;10.24.76.0/24;91;4;6;;;;;Подгорнов Андрей Анатольевич;Слуднева Екатерина Николаевна;;;;;;Running;24.02.21;13.07.21;false;
CMDB-313128;MMZ-PCV-9997;VirtualMachine-vm-96955;RFC-9680;;Microsoft Windows 10 (64-bit);MMZ-PCV-9997.npo.izhmash;;;10.24.76.14;10.25.0.13,10.25.0.14;10.24.76.1;10.24.76.0/24;86;4;6;;;;;Подгорнов Андрей Анатольевич;Слуднева Екатерина Николаевна;;;;;;Running;24.02.21;13.07.21;false;
CMDB-329400;mmz-pcv-dev1;;;;Ubuntu Linux (64-bit);mmz-srv-dev1;;;10.25.2.14;10.25.0.13,10.25.0.14;10.25.2.1;10.25.2.0/28;192;2;32;;;;;;;;;;;;Stopped;12.07.21;13.07.21;true;
CMDB-76812;MMZ-PRINT02;;;Старый принт-сервер, используется для подключения принтеров, не перенесенных на MMZ-SRV-PRNT1;;;Продуктив;SERV_LAB_7;10.25.30.5;10.25.0.5,10.25.0.6,10.25.0.13;10.25.30.1;10.25.30.0/27;60;2;4;Заводоуправление;23.12.21;Печать;;Грибков Алексей Константинович;Грибков Алексей Константинович;;AD-MMZ-CompanyAdmin;;;Enable;Stopped;18.12.19;12.07.21;true;23.12.20
CMDB-303725;MMZ-PRINT02_TEST;;;;Windows Server 2008 (32-bit);MMZ-PRINT02.mmzavod.local;;SERV_1C_26;10.25.30.5;;;;60;2;4;;;;;;;;;;;;Stopped;28.12.20;25.01.21;true;
CMDB-76795;MMZ-ROOTCA;VirtualMachine-vm-921;;Сервер центра сертификации, продакшн, старый Григорьева МГ;Microsoft Windows Server 2008 (32-bit);MMZ-ROOTCA;Продуктив;;10.25.0.9;10.25.0.5,10.25.0.6;10.25.0.1;10.25.0.0/24;20;1;2;Заводоуправление;;Центр Сертификации;;Щербинин Андрей Владимирович;Щербинин Андрей Владимирович;;AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;16.07.21;true;
CMDB-76883;MMZ-SCM-01;;;Сервис управления конфигурацией компьютеров пользователей;Windows Server 2016 or later (64-bit);MMZ-SRV-SCM.npo.izhmash;Тест;;10.25.0.19;;;;100;3;6;Заводоуправление;;;;Грибков Алексей Константинович;Грибков Алексей Константинович;;AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;25.01.21;true;
CMDB-76863;MMZ-SOLID02;VirtualMachine-vm-1822;;сервер SolidWorks;Microsoft Windows Server 2008 R2 (64-bit);MMZ-SOLID02.npo.izhmash;Продуктив;;10.25.24.7;10.25.0.13,10.25.0.14;10.25.24.1;10.25.24.0/27;608;2;8;Заводоуправление;;SolidWorks;;Слуднева Екатерина Николаевна;Туктаров Дамир Бариевич [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-315046;MMZ-SRV-1C2;VirtualMachine-vm-99136;RFC-9738;Сервер разработки 1С;;;;;10.25.26.14;10.25.0.13,10.25.0.14;10.25.26.1;10.25.26.0/27;740;6;64;;;;;Гусляков Владислав Михайлович;Карант Валерий Витальевич;;;;;;Stopped;11.03.21;8.09.21;true;
CMDB-76798;MMZ-SRV-1C3;VirtualMachine-vm-4353;;Сервер разработки 1С;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-1C3.npo.izhmash;Продуктив;;10.25.26.10;10.25.0.13,10.25.0.14;10.25.26.1;10.25.26.0/27;140;4;32;Заводоуправление;;Терминальный доступ;;Щербинин Андрей Владимирович;Туктаров Дамир Бариевич [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.09.21;false;
CMDB-76792;MMZ-SRV-1C4;VirtualMachine-vm-4255;;Сервер разработки 1С;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-1C4.npo.izhmash;Продуктив;;10.25.26.11;10.25.0.13,10.25.0.14;10.25.26.1;10.25.26.0/27;150;4;32;Заводоуправление;;Терминальный доступ;;Щербинин Андрей Владимирович;Туктаров Дамир Бариевич [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;30.08.21;false;
CMDB-325334;MMZ-SRV-1C5;VirtualMachine-vm-2847;;Складской учет WMS;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-1C5.npo.izhmash;;;10.25.26.9;10.25.0.13,10.25.0.14,10.25.0.5,10.25.0.6;10.25.26.1;10.25.26.0/27;262;4;32;;;;;;;;;;;;Running;9.06.21;29.09.21;true;
CMDB-325335;MMZ-SRV-1C6;VirtualMachine-vm-113088;;Сервер разработки 1С;;MMZ-SRV-1C6.npo.izhmash;;;10.25.26.7;10.25.0.13,10.25.0.14;10.25.26.1;10.25.26.0/27;120;1;4;;;;;;;;;;;;Stopped;9.06.21;7.10.21;;
CMDB-329601;MMZ-SRV-1C7;VirtualMachine-vm-113811;;Сервер разработки 1С;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-1C7.npo.izhmash;;;10.25.26.8,169.254.20.40;10.25.0.13,10.25.0.14;10.25.26.1;10.25.26.0/27;132;6;12;;;;;;;;;;;;Stopped;13.07.21;29.07.21;true;
CMDB-318270;MMZ-SRV-1CSP1;VirtualMachine-vm-109954;RFC-9824;1С:Сервер предприятий 8.3;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-1CSP1.npo.izhmash;;;10.25.26.6;10.25.0.13,10.25.0.14;10.25.26.1;10.25.26.0/27;92;6;32;;;;;Щербинин Андрей Владимирович;Ахмедов Аскер Рамисович;;;;;;Running;2.04.21;13.07.21;false;
CMDB-76768;MMZ-SRV-ADFS1;VirtualMachine-vm-1521;;Корпоративная служба каталога;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-ADFS1.npo.izhmash;Продуктив;;10.25.0.17;10.25.0.13,10.25.0.14;10.25.0.1;10.25.0.0/27;42;2;2;Заводоуправление;;Active Directory;;Щербинин Андрей Владимирович;Наумов Максим Станиславович [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-76767;MMZ-SRV-ADFS2;VirtualMachine-vm-1522;;Корпоративная служба каталога;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-ADFS2.npo.izhmash;Продуктив;;10.25.0.18;10.25.0.13,10.25.0.14;10.25.0.1;10.25.0.0/27;52;2;2;Заводоуправление;;Active Directory;;Щербинин Андрей Владимирович;Наумов Максим Станиславович [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-76766;MMZ-SRV-ADMT1;VirtualMachine-vm-959;;сервер миграции ADMT;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-ADMT1.npo.izhmash;Продуктив;;10.25.31.5;10.25.0.13,10.25.0.14,10.25.0.5,10.25.0.6;10.25.31.1;10.25.31.0/28;124;2;4;Заводоуправление;;Active Directory;;Кокорников Илья Владимирович;Туктаров Дамир Бариевич [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-331402;MMZ-SRV-APCH1;VirtualMachine-vm-121741;;;Debian GNU/Linux 10 (64-bit);mmz-srv-apch1;;;10.25.10.4;10.25.0.13,10.25.0.14;10.25.10.1;10.25.10.0/28;56;4;8;;;;;Ахмедов Аскер Рамисович;Кокорников Илья Владимирович;;;;;;Running;27.07.21;4.10.21;false;
CMDB-308854;MMZ-SRV-APV1;VirtualMachine-vm-50752;;Autoprovisioning IP phone;Debian GNU/Linux 10 (64-bit);mmz-srv-apv1;;;10.25.17.21;127.0.0.1;10.25.17.17;;13;1;2;;;;;Щербинин Андрей Владимирович;Щербинин Андрей Владимирович;;;;;;Running;16.02.21;28.07.21;false;
CMDB-305986;MMZ-SRV-ARH1;VirtualMachine-vm-71438;RFC-9092;Архивация почты NODE1;Microsoft Windows Server 2012 (64-bit);MMZ-SRV-ARH1.npo.izhmash;;;169.254.1.218,10.25.1.18,10.25.1.5;10.25.0.13,10.25.0.14;10.25.1.1;10.25.1.0/27;936;8;16;;;;;Щербинин Андрей Владимирович;Грибков Алексей Константинович||Слуднева Екатерина Николаевна;;;;;;Running;25.01.21;8.10.21;false;
CMDB-305985;MMZ-SRV-ARH2;VirtualMachine-vm-71439;RFC-9093;Архивация почты NODE2;Microsoft Windows Server 2012 (64-bit);MMZ-SRV-ARH2.npo.izhmash;;;169.254.2.88,10.25.1.19;10.25.0.13,10.25.0.14;10.25.1.1;10.25.1.0/27;936;8;16;;;;;Щербинин Андрей Владимирович;Грибков Алексей Константинович||Слуднева Екатерина Николаевна;;;;;;Running;25.01.21;8.10.21;false;
CMDB-305978;MMZ-SRV-AST1;VirtualMachine-vm-100016;;;Debian GNU/Linux 10 (64-bit);mmz-srv-ast1;;;10.25.17.18,10.25.17.20;127.0.0.1;10.25.17.17;;54;2;4;;;;;Щербинин Андрей Владимирович;Ахмедов Аскер Рамисович;;;;;;Running;25.01.21;7.10.21;false;
CMDB-305963;MMZ-SRV-AST2;VirtualMachine-vm-100017;;;Debian GNU/Linux 10 (64-bit);mmz-srv-ast2;;;10.25.17.19;127.0.0.1;10.25.17.17;;54;2;4;;;;;Щербинин Андрей Владимирович;Ахмедов Аскер Рамисович;;;;;;Running;25.01.21;7.10.21;false;
CMDB-312607;MMZ-SRV-AST3;;;;Debian GNU/Linux 10 (64-bit);mmz-srv-ast3;;;10.25.17.22,10.25.17.20;127.0.0.1;10.25.17.17;;50;2;4;;;;;;;;;;;;Stopped;17.02.21;26.03.21;true;
CMDB-312606;MMZ-SRV-AST4;;;;Debian GNU/Linux 10 (64-bit);mmz-srv-ast4;;;10.25.17.23;127.0.0.1;10.25.17.17;;50;2;4;;;;;;;;;;;;Stopped;17.02.21;26.03.21;true;
CMDB-76830;MMZ-SRV-ASTCON1;;;Asterisk Conference1;Debian GNU/Linux 10 (64-bit);mmz-srv-astcon1;Продуктив;;10.25.17.196,10.25.17.198;127.0.0.1;10.25.17.193;;12;2;2;Заводоуправление;;Телефония;;Щербинин Андрей Владимирович;;;AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;16.02.21;true;
CMDB-76835;MMZ-SRV-ASTCON2;;;Asterisk Conference2;Debian GNU/Linux 10 (64-bit);mmz-srv-astcon2;Продуктив;;10.25.17.197;127.0.0.1;10.25.17.193;;12;2;2;Заводоуправление;;Телефония;;Щербинин Андрей Владимирович;;;AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;16.02.21;true;
CMDB-76809;MMZ-SRV-ASTCOR1;;;Asterisk Core1;Debian GNU/Linux 10 (64-bit);mmz-srv-astcor1;Продуктив;;10.25.17.242,10.25.17.194;127.0.0.1;10.25.17.193,10.25.17.241;10.25.17.0/29;11;2;2;Заводоуправление;;Телефония;;Щербинин Андрей Владимирович;;;AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;15.02.21;true;
CMDB-76819;MMZ-SRV-ASTCOR2;;;Asterisk Core2;;;Продуктив;;10.25.17.195;127.0.0.1;10.25.17.193;;11;2;2;Заводоуправление;;Телефония;;Щербинин Андрей Владимирович;;;AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;15.02.21;true;
CMDB-98348;MMZ-SRV-ASTNOD1;;;Asterisk Node1;Debian GNU/Linux 10 (64-bit);mmz-srv-astnod1;Продуктив;;10.25.17.227,10.25.17.210,10.25.17.213;127.0.0.1;10.25.17.209,10.25.17.225;;11;2;2;Заводоуправление;;Телефония;;Щербинин Андрей Владимирович;;;;;;;Stopped;6.03.20;15.02.21;true;
CMDB-76818;MMZ-SRV-ASTNOD2;;;Asterisk Node2;Debian GNU/Linux 10 (64-bit);mmz-srv-astnod2;Продуктив;;10.25.17.211,10.25.17.214,10.25.17.228;127.0.0.1;10.25.17.209,10.25.17.225;;11;2;2;Заводоуправление;;Телефония;;Щербинин Андрей Владимирович;;;AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;15.02.21;true;
CMDB-76833;MMZ-SRV-ASTNOD3;;;Asterisk Node3;Debian GNU/Linux 10 (64-bit);mmz-srv-astnod3;Продуктив;;10.25.17.229,10.25.17.212;127.0.0.1;10.25.17.209,10.25.17.225;;11;2;2;Заводоуправление;;Телефония;;Щербинин Андрей Владимирович;;;AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;15.02.21;true;
CMDB-76794;MMZ-SRV-CA1;VirtualMachine-vm-30904;;Центр выдачи и отзыва цифровых сертификатов;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-CA1.npo.izhmash;Продуктив;;10.25.0.22;10.25.0.13,10.25.0.14;10.25.0.1;10.25.0.0/27;44;2;4;Заводоуправление;;Центр Сертификации;;Слуднева Екатерина Николаевна;Наумов Максим Станиславович [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-315018;MMZ-SRV-CDR1;VirtualMachine-vm-99132;;Call Detail Records;Debian GNU/Linux 10 (64-bit);mmz-srv-cdr1;;;10.25.30.24;127.0.0.1;10.25.30.1;10.25.30.0/27;22;1;2;;;;;Щербинин Андрей Владимирович;Ахмедов Аскер Рамисович;;;;;;Running;11.03.21;13.07.21;false;
CMDB-323502;MMZ-SRV-CONS;VirtualMachine-vm-108626;RFC-9954;Сервер КОНСУЛЬТАНТ, продакшн (НОВЫЙ);Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-CONS.npo.izhmash;;;10.25.32.9;10.25.0.13,10.25.0.14;10.25.32.1;10.25.32.0/28;268;4;8;;;;;Ахмедов Аскер Рамисович;Грибков Алексей Константинович;;;;;;Running;20.05.21;13.07.21;false;
CMDB-76828;MMZ-SRV-CONS1;;;Consul Server Node1;Debian GNU/Linux 10 (64-bit);mmz-srv-cons1;Продуктив;;10.25.8.194,10.25.8.203;127.0.0.1;10.25.8.193;;11;2;2;Заводоуправление;;Телефония;;Щербинин Андрей Владимирович;;;AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;9.03.21;true;
CMDB-76822;MMZ-SRV-CONS2;;;Consul Server Node2;Debian GNU/Linux 10 (64-bit);mmz-srv-cons2;Продуктив;;10.25.8.195;127.0.0.1;10.25.8.193;;11;2;2;Заводоуправление;;Телефония;;Щербинин Андрей Владимирович;;;AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;9.03.21;true;
CMDB-76826;MMZ-SRV-CONS3;;;Consul Server 3;Debian GNU/Linux 10 (64-bit);mmz-srv-cons3;Продуктив;;10.25.8.196;127.0.0.1;10.25.8.193;;11;2;2;Заводоуправление;;Телефония;;Щербинин Андрей Владимирович;;;AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;9.03.21;true;
CMDB-318271;MMZ-SRV-CPSMS1;VirtualMachine-vm-84542;;;;mmz-srv-cpsms1;;;10.25.4.5;10.25.0.13,10.25.0.14,8.8.8.8;10.25.4.1;10.25.4.0/28;512;8;12;;;;;Грибков Алексей Константинович;Слуднева Екатерина Николаевна;;;;;;Running;2.04.21;13.07.21;false;
CMDB-305989;MMZ-SRV-CPSMS1_restored;;;;;mmz-srv-cpsms1;;;10.25.4.5;10.25.0.13,10.25.0.14;10.25.4.1;10.25.4.0/28;512;8;12;;;;;;;;;;;;Stopped;25.01.21;2.04.21;true;
CMDB-338928;MMZ-SRV-CTX1;VirtualMachine-vm-132690;;;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-CTX1.npo.izhmash;;;10.25.6.131;10.25.0.13,10.25.0.14;10.25.6.129;;114;8;32;;;;;;;;;;;;Running;29.09.21;8.10.21;;
CMDB-338929;MMZ-SRV-CTX2;VirtualMachine-vm-132689;;;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-CTX2.npo.izhmash;;;10.25.6.132;10.25.0.13,10.25.0.14;10.25.6.129;;114;8;32;;;;;;;;;;;;Running;29.09.21;7.10.21;;
CMDB-338927;MMZ-SRV-CTX3;VirtualMachine-vm-132691;;;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-CTX3.npo.izhmash;;;10.25.6.133;10.25.0.13,10.25.0.14;10.25.6.129;;114;8;32;;;;;;;;;;;;Running;29.09.21;7.10.21;;
CMDB-305979;MMZ-SRV-CTX5;VirtualMachine-vm-63868;;;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-CTX5.npo.izhmash;;;10.25.6.233;10.25.0.13,10.25.0.14;10.25.6.225;;143;8;32;;;;;Слуднева Екатерина Николаевна;Слуднева Екатерина Николаевна;;;;;;Running;25.01.21;8.10.21;false;
CMDB-305952;MMZ-SRV-CTX6;VirtualMachine-vm-63867;;;Microsoft Windows Server 2016 or later (64-bit);MMZ-SRV-CTX6.npo.izhmash;;;10.25.6.227;10.25.0.13,10.25.0.14;10.25.6.225;;100;8;32;;;;;Слуднева Екатерина Николаевна;Слуднева Екатерина Николаевна;;;;;;Stopped;25.01.21;7.10.21;false;
CMDB-118358;MMZ-SRV-CTXADC1;VirtualMachine-vm-62554;;CITRIX шлюз;FreeBSD Pre-11 versions (64-bit);MMZ-SRV-CTXADC1;Продуктив;;10.25.5.162;127.0.0.2;;;22;2;2;Заводоуправление;;Терминальный доступ;;Слуднева Екатерина Николаевна;Ахмедов Аскер Рамисович;;AD-MMZ-CompanyAdmin;;;;Running;9.07.20;4.08.21;false;
CMDB-305966;MMZ-SRV-CTXADC1_1;VirtualMachine-vm-41992;;;;MMZ-SRV-CTXADC1;;;;;;;29;2;2;;;;;Слуднева Екатерина Николаевна;Слуднева Екатерина Николаевна;;;;;;Stopped;25.01.21;2.09.21;true;
CMDB-118359;MMZ-SRV-CTXADC2;VirtualMachine-vm-62556;;CITRIX шлюз;FreeBSD Pre-11 versions (64-bit);MMZ-SRV-CTXADC2;Продуктив;;10.25.5.163;127.0.0.2;;;22;2;2;Заводоуправление;;Терминальный доступ;;Слуднева Екатерина Николаевна;Ахмедов Аскер Рамисович;;AD-MMZ-CompanyAdmin;;;;Running;9.07.20;4.08.21;false;
